Column1,Column2,Column3,Column2,Column3,Column2,Column3,Column2,Column3
,,,,,,,,
Google Cloud Platform,2013,Yes,No,No[1],Yes,Yes[2],"br, ca, cl, us, be, ch, de, es, fi, it, po, nl, uk, il, au, cn, in, jp, sg, id, tw[3]",SMTP blocked.[4]
Oracle Cloud Infrastructure,2014,Yes,Yes,Yes,Yes,Yes[5],"us, ca, br, de, uk, nl, ch, in, aus, jp, kr, saud",
Amazon Web Services,2006,Yes,Yes,Partial[6],Yes,Yes[7],"us, ca, br, ie, de, uk, cn, sg, au, jp, kr, in, za, fr, se, bh, hk, it, id",List of bugs[8]
IBM Cloud,2005,Yes,Yes,No[9],Yes,Yes[10],"us, gb, fr, de, nl, in, au, hk, kr, it, jp, no, sg",
Microsoft Azure,2010,Yes,Yes,Yes[11],Yes,Yes[12],"ca, us, br, ie, nl, de, uk, cn, au, jp, in, kr, sg, hk, za, id",List of bugs[13]
GoDaddy,2016,No,,,No,Yes[14],,
Rackspace,1998,Partial,No,Yes,No,Yes[15],"us, au, hk",root volume is a fixed size
OVH,1999[16],Yes,Yes[17],Yes[18],Yes,Yes[19],"au, ca, de, fr, gb, pl, us, sg[20]",
Atlantic.Net,2010,No,,Yes,No,Yes[21],"us, uk, ca",
Scaleway,2016,Yes,Yes[22],Yes[23],Yes,Yes[24],"fr, nl",
Alibaba Cloud,2009,Yes,Yes,Yes,Yes,Yes[25],"cn, hk, sg, au, my, id, in, jp, us, de, uk, ae",
Hetzner Cloud,,Yes,,,,Yes[26],"de, fi, us, sg",
Safe Swiss Cloud,2013[27],Yes,Yes,,Yes,Yes[28],ch,
DigitalOcean,2016[29],Partial,Yes,Partial,,Yes[30],"sg, nl, uk, ca, de, in",SMTP for accounts older than 60 days[31] but they use spam mandrillapp servers.[32] root volume is a fixed size.
